smiles,mol_weight,exact_mol_weight,heavy_atom_count,logp,molar_refractivity,tpsa,hbd,hba,total_hbond_donors_acceptors,heteroatom_count,oxygen_nitrogen_count,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,fused_ring_count,fraction_csp3,formal_charge,positive_formal_atom_count,negative_formal_atom_count,labute_asa,balaban_j,kappa1,kappa2,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,max_estate_index,min_estate_index,max_abs_estate_index,min_abs_estate_index,bcut2d_mwhi,bcut2d_mwlow,bcut2d_chghi,bcut2d_chglo,bcut2d_logphi,bcut2d_logplow,bcut2d_mrhi,bcut2d_mrlow,wiener_index,eccentric_connectivity_index,most_basic_pka,most_acidic_pka,num_basic_sites,num_acidic_sites,neutral_fraction_ph74,charged_fraction_ph74,base_protonated_fraction_ph74,acid_deprotonated_fraction_ph74,net_charge_proxy_ph74,estimated_logd_ph74,has_amphoteric_sites,mw_le_360,mw_le_450,mw_lt_400,mw_between_400_600,logp_le_3,logp_lt_5,logp_in_1p5_2p7,logp_distance_to_3p4,tpsa_40_90,tpsa_lt_70,tpsa_le_90,tpsa_lt_79,hbd_le_0p5,hbd_lt_3,hba_lt_7,total_hbond_lt_8,oxygen_nitrogen_le_5,rotatable_bonds_lt_8,rotatable_bonds_le_5,most_basic_pka_le_8,most_basic_pka_le_10,most_basic_pka_7p5_10p5,most_acidic_pka_ge_4,estimated_logd_0_3,estimated_logd_le_3,boiled_egg_bbb_likely,formal_charge_abs_le_1,formal_charge_zero_or_plus_one,cns_mpo_score,cns_mpo_ge_4,passive_bbb_screen_pass,pka_features_available
CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,360.32500000000005,359.141884464,23.0,4.635000000000004,98.87800000000006,29.54,0.0,3.0,3.0,5.0,3.0,9.0,1.0,1.0,0.0,0.0,0.6111111111111112,0.0,0.0,0.0,149.45214194577363,2.458834471614553,20.11531037607612,10.04313306942461,15.79064555954739,9.100476203186464,7.227385125338664,3.6147901318792424,2.684937702906069,14.278787667510478,8.031431235536765,6.471456179320208,3.2767284299878363,2.276861130093487,11.682267749519735,-0.40969098783565605,11.682267749519735,0.13470350189866753,35.49675362605588,10.074096807959336,2.151891909617768,-2.226406972350156,2.171389352437839,-2.2696328329032203,6.182875633901804,-0.15440227772484644,1492.0,497.0,4.764616012573242,14.0,1.0,0.0,0.9976900018471448,0.0023099981528551528,0.002309998152855131,0.0,0.002309998152855131,4.633995620043953,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2350000000000043,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.657178571428569,0.0,0.0,1.0
Cc1cc(Br)cc(C(N)=O)c1O,230.061,228.973840596,12.0,1.5620199999999997,49.06170000000001,63.32000000000001,2.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.125,0.0,0.0,0.0,78.32448150318403,3.3738590108748694,9.06115770282589,3.1453589326261007,8.05147370565663,4.103087122017941,3.398780624637303,1.9885581232963934,1.4956477287597425,6.465477166541927,3.3100888524605887,2.483105095845614,1.530720358900549,0.9233505232649367,10.767592592592592,-0.6278703703703703,10.767592592592592,0.050277777777777644,79.9187309978759,10.10543920163378,2.096363363370819,-2.035077566556494,2.2542012932869415,-2.1098048360786414,9.103008801529406,0.09973133028415529,184.0,100.0,3.2860965728759766,7.847139835357666,1.0,3.0,0.736777300567434,0.26322269943256604,7.692423108103373e-05,0.2631660190451467,-0.26308909481406567,1.4293562371804238,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.8379800000000002,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.5,1.0,1.0,1.0
CC(=O)Nc1ccc(OC(C)(C)C)cc1,207.27299999999997,207.125928784,15.0,2.822300000000001,61.126700000000035,38.33,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,90.44598531903529,2.6817020550727952,11.564128984432914,4.340890367269423,9.625897657686231,4.933739640741713,4.419998121149987,1.5987222279320832,1.1631271539851666,9.625897657686231,4.933739640741713,4.419998121149987,1.5987222279320832,1.1631271539851666,10.784518691735954,-0.1988879046989167,10.784518691735954,0.0699168949987401,16.500758925587743,10.163188234627858,2.1066260416460274,-2.207979543130618,2.1972344717992063,-2.2237818765374593,5.88114103712972,-0.11373834289897372,412.0,205.0,4.688134670257568,13.86113166809082,1.0,1.0,0.9980619290869891,0.001938070913010903,0.0019377257487498698,3.4583439326485695e-07,0.001937379914356605,2.8214574898107276,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5776999999999988,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.339104588427969,1.0,1.0,1.0
O=C(O)CNC(=O)c1ccccc1O,195.174,195.053157768,14.0,0.2065999999999995,48.075800000000015,86.63000000000001,3.0,3.0,6.0,5.0,5.0,3.0,1.0,1.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,79.98760335077439,2.7000844282152996,10.04361204013378,4.268383741308158,7.227431629872695,3.889918936339995,2.5935651374824324,1.5488469281011192,0.9167651310739973,7.227431629872695,3.889918936339995,2.5935651374824324,1.5488469281011192,0.9167651310739973,11.23550925925926,-1.1307676681783818,11.23550925925926,0.06365740740740788,16.366775152260594,10.165802889247075,2.0972478444072244,-2.0299010781361835,2.141036056931683,-2.286830417937895,5.975430930826323,-0.13533034226731624,325.0,172.0,0.0,3.665961742401123,0.0,3.0,0.00018445126109456478,0.9998155487389054,0.0,0.9998155487389054,-0.9998155487389054,-3.5275183711526115,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.1934000000000005,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.166666666666667,1.0,1.0,1.0
CSCC[C@H](NC(C)=O)C(=O)Oc1ccc(NC(C)=O)cc1,324.40200000000004,324.11437811999997,22.0,1.8081999999999998,86.98440000000004,84.5,2.0,5.0,7.0,7.0,6.0,7.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,133.53682807128595,2.667079811230387,18.03005005005005,9.090699235095865,13.658702941568267,8.168356766035092,5.646843896164661,3.3097409882589917,2.1982696823971093,12.84220636064054,6.774509915917741,4.661245336511171,2.6657904373996124,1.7268651616060764,12.100744178844378,-0.6666934103888471,12.100744178844378,0.17358092976016715,32.16636367485251,10.198212363789061,2.20737429711738,-2.1585795917057387,2.1643046845433633,-2.419632120481041,7.980986858901362,-0.13865872251252864,1226.0,433.0,4.18400764465332,13.719644546508789,1.0,2.0,0.9993917451797456,0.0006082548202543947,0.0006077760896287253,4.790217637163639e-07,0.000607297067865009,1.8079357579165625,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.5918,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.5,1.0,1.0,1.0
Cc1ccccc1,92.14099999999999,92.062600256,7.0,1.99502,31.17899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,43.79634523389357,3.0214653097240864,4.380771704180065,1.7832860398554335,4.386751345948129,2.4106836025229597,1.654700538379252,0.9404557350153064,0.5343778974176118,4.386751345948129,2.4106836025229597,1.654700538379252,0.9404557350153064,0.5343778974176118,2.0833333333333335,1.3217592592592595,2.0833333333333335,1.3217592592592595,13.782105281259431,10.2446262174219,1.7152546995077484,-1.8223238719751815,1.9162789955764012,-1.6221555927559288,5.11182720852277,1.475756642372446,42.0,45.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.99502,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.40498,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
C[C@H](N)Cc1ccccc1,135.20999999999998,135.104799416,10.0,1.5763,43.79540000000002,26.02,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,61.866120159699506,2.5872871851548136,7.288932461873639,3.3737941826863076,6.248558665513929,3.583168886103056,2.6670065890781336,1.4005021979026944,0.9858783585471155,6.248558665513929,3.583168886103056,2.6670065890781336,1.4005021979026944,0.9858783585471155,5.624427437641724,0.26611111111111074,5.624427437641724,0.26611111111111074,14.592881775995131,10.090862491237763,1.936974972182721,-2.0246159489684574,1.9983107111119105,-2.169656885627758,5.148524552240581,0.7380001730149907,126.0,92.0,10.270040512084961,14.0,1.0,0.0,0.0013470201431182716,0.9986529798568817,0.9986529798568817,0.0,0.9986529798568817,-1.29432590986001,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.8236999999999999,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.134333333333333,1.0,1.0,1.0
CCCCC/C(=N/OCCN)c1ccc(C)c(N)c1,263.385,263.19976242,19.0,2.83692,81.27680000000004,73.63,2.0,4.0,6.0,4.0,4.0,8.0,1.0,1.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,115.35856975793685,2.8073822020779837,15.507306590257876,8.534307301090518,11.984853919031238,6.94047358673093,4.688353781030364,3.0134760360751995,1.7813793289358861,11.984853919031238,6.94047358673093,4.688353781030364,3.0134760360751995,1.7813793289358861,5.95228158856135,0.44307665658856155,5.95228158856135,0.44307665658856155,16.62791249581517,10.016373051278455,2.0615571164064943,-2.086245599624492,2.1628436431789044,-2.0860356353964957,6.005319428530957,0.15150454224651325,784.0,287.0,8.916939735412598,13.19179916381836,3.0,2.0,0.02951536813004929,0.9704846318699507,0.9704845841995239,1.6151026687521603e-06,0.9704829690968552,1.3069682043233324,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5630799999999998,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.041530132293701,1.0,1.0,1.0
C#CC(OC(N)=O)c1ccccc1,175.187,175.063328528,13.0,1.4562000000000002,48.68440000000002,52.32,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,76.50535499550602,2.8043947744189954,9.14049773755656,4.169755322247692,6.935298734444734,3.7093346917615904,2.3942768208091563,1.4877016710179842,0.9422724054529732,6.935298734444734,3.7093346917615904,2.3942768208091563,1.4877016710179842,0.9422724054529732,10.446373299319728,-0.8687008692365825,10.446373299319728,0.6956481481481485,16.553804992947143,10.118858751253946,2.0968336769644553,-2.0920237431412985,2.1458971513205505,-2.158239730372728,5.649952281468228,0.13374466221565667,256.0,140.0,2.3516411781311035,12.537698745727539,1.0,2.0,0.9999837710970402,1.6228902959825042e-05,8.946173012126829e-06,7.282795100778659e-06,1.6633779113481696e-06,1.4561929518198051,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.9437999999999998,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.833333333333333,1.0,1.0,1.0
NS(=O)(=O)c1ccc(C(=O)O)cc1,201.20299999999997,201.009578704,13.0,0.03219999999999995,44.77450000000001,97.46000000000001,2.0,3.0,5.0,6.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.85276767556115,3.1552687435747604,9.686206896551724,3.1537190082644617,7.283454684231266,4.818577364910171,3.935962285204674,2.359030937981775,1.3026312541290712,6.46695810330354,3.2722578869886103,2.3745392277370896,1.4297997045702069,0.787191428155217,10.744375944822373,-3.738215230536659,10.744375944822373,0.02074074074074117,32.233115503234366,10.212245904869919,2.080197631836265,-1.9719769197309176,2.076472346041318,-2.117353238032919,7.887590067347998,0.06965118229576985,252.0,139.0,4.094760894775391,3.5549561977386475,1.0,3.0,0.00014278387127293613,0.999857216128727,0.0004949324113716057,0.999857145425368,-0.9993622130139964,-3.813120847271094,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.3678,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.251333333333333,1.0,0.0,1.0
